customer ID,Gender,Age,Item Purchased,Category,Season,Color,Size,Location,Ratings,Subscription status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchased,Payment method,Frequency Of Purchases,Purchase Amount USD
61,Female,56,Scarf,Accessories,Summer,Purple,M,Pennsylvania,4.4,No,Next Day Air,Yes,Yes,43,Credit Card,Bi-Weekly,93
62,Female,69,Jeans,Clothing,Summer,Olive,M,Delaware,4.2,No,Next Day Air,Yes,Yes,3,Venmo,Bi-Weekly,81
63,Female,38,Smartwatch,Electronics,Spring,Lavender,M,Oregon,3,No,Express,Yes,Yes,21,Bank Transfer,Weekly,81
64,Female,42,Dress,Clothing,Summer,Gray,M,Oregon,4,No,Standard,Yes,Yes,32,Debit Card,Every 3 Months,52
65,Female,30,Running Shoes,Footwear,Winter,Red,XL,Utah,3.5,No,Standard,Yes,Yes,36,Cash,Weekly,88
66,Female,66,Watch,Accessories,Winter,Peach,S,North Dakota,3,No,Store Pickup,Yes,Yes,50,Debit Card,Bi-Weekly,24
67,Female,36,Boots,Footwear,Spring,Gray,S,Florida,3.7,Yes,Store Pickup,Yes,Yes,43,PayPal,Quarterly,51
68,Female,58,Raincoat,Outerwear,Fall,Violet,L,Maryland,4,Yes,Express,Yes,Yes,24,Cash,Annually,38
69,Female,45,Necklace,Accessories,Fall,Beige,S,Minnesota,4.2,Yes,2-Day Shipping,Yes,Yes,36,PayPal,Annually,46
70,Female,47,Jacket,Clothing,Winter,Blue,M,Montana,2.5,Yes,2-Day Shipping,Yes,Yes,21,Bank Transfer,Monthly,63
71,Female,66,Earbuds,Electronics,Spring,Magenta,M,Rhode Island,3,Yes,Express,Yes,Yes,34,Credit Card,Every 3 Months,72
72,Female,41,Powerbank,Electronics,Winter,Cyan,L,Massachusetts,3.2,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Quarterly,39
73,Female,41,Sunglasses,Accessories,Fall,Red,M,Vermont,3.5,Yes,Store Pickup,Yes,Yes,2,PayPal,Monthly,42
74,Female,66,Raincoat,Outerwear,Fall,Cyan,M,New Jersey,4.8,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Weekly,76
75,Female,37,Scarf,Accessories,Fall,Turquoise,S,Wisconsin,2.6,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Quarterly,66
76,Female,70,Overcoat,Outerwear,Fall,Silver,L,California,3.4,Yes,Next Day Air,Yes,Yes,35,Venmo,Fortnightly,90
77,Female,62,Heels,Footwear,Spring,Pink,L,West Virginia,3.7,Yes,Free Shipping,Yes,Yes,15,Debit Card,Annually,56
78,Female,61,Dress,Clothing,Spring,Black,L,South Dakota,4.5,Yes,Standard,Yes,Yes,29,Venmo,Every 3 Months,43
79,Female,48,Windbreaker,Outerwear,Summer,Green,L,Maine,3.7,Yes,Free Shipping,Yes,Yes,18,Venmo,Bi-Weekly,84
80,Female,70,Windbreaker,Outerwear,Winter,Yellow,L,Kansas,3.3,Yes,Next Day Air,Yes,Yes,13,Venmo,Monthly,88
81,Female,46,Overcoat,Outerwear,Summer,Purple,S,Vermont,4.7,Yes,Standard,Yes,Yes,46,Debit Card,Every 3 Months,88
82,Female,31,Bracelet,Accessories,Spring,Purple,L,Tennessee,2.7,Yes,2-Day Shipping,Yes,Yes,28,PayPal,Fortnightly,42
83,Female,19,Running Shoes,Footwear,Fall,Blue,M,Tennessee,4.6,Yes,Express,Yes,Yes,48,Bank Transfer,Fortnightly,73
84,Female,39,Raincoat,Outerwear,Winter,Maroon,S,Wyoming,2.7,Yes,Store Pickup,Yes,Yes,43,Debit Card,Fortnightly,73
85,Female,41,Sweater,Clothing,Summer,Orange,M,Vermont,4.8,Yes,Store Pickup,Yes,Yes,37,PayPal,Monthly,44
86,Female,20,Shorts,Clothing,Summer,Green,S,New Jersey,4.4,Yes,2-Day Shipping,Yes,Yes,20,PayPal,Bi-Weekly,63
87,Female,36,Raincoat,Outerwear,Spring,Gold,XL,Tennessee,4,Yes,2-Day Shipping,Yes,Yes,33,PayPal,Weekly,68
88,Female,32,Jeans,Clothing,Spring,Silver,XL,Massachusetts,3.2,Yes,2-Day Shipping,Yes,Yes,31,PayPal,Annually,29
89,Female,69,Watch,Accessories,Spring,Cyan,M,Nevada,4.4,Yes,Store Pickup,Yes,Yes,50,Debit Card,Fortnightly,85
90,Female,40,Headphones,Electronics,Summer,Silver,S,North Dakota,3.8,Yes,2-Day Shipping,Yes,Yes,35,Bank Transfer,Annually,42
91,Female,40,Belt,Accessories,Winter,Beige,M,Florida,3.6,Yes,2-Day Shipping,Yes,Yes,22,Debit Card,Annually,69
92,Female,20,Windbreaker,Outerwear,Winter,Teal,L,New York,3.3,Yes,Next Day Air,Yes,Yes,1,Cash,Every 3 Months,62
93,Female,64,Wallet,Accessories,Summer,Green,M,Alaska,3.4,Yes,Standard,Yes,Yes,4,PayPal,Weekly,48
94,Female,27,Jacket,Clothing,Summer,Black,M,Kansas,3.5,Yes,Standard,Yes,Yes,31,Cash,Bi-Weekly,68
95,Female,24,Sweater,Clothing,Spring,Yellow,S,Oregon,3.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Annually,36
96,Female,48,Loafers,Footwear,Summer,White,L,Rhode Island,3.2,Yes,Free Shipping,Yes,Yes,33,Bank Transfer,Fortnightly,63
97,Female,49,Overcoat,Outerwear,Fall,Green,M,New Mexico,3.7,Yes,Next Day Air,Yes,Yes,25,Venmo,Bi-Weekly,39
98,Female,36,Sandals,Footwear,Spring,Silver,L,Massachusetts,4.5,Yes,Store Pickup,Yes,Yes,25,Credit Card,Every 3 Months,78
99,Female,56,Dress,Clothing,Winter,Blue,XL,Pennsylvania,4.6,Yes,Free Shipping,No,Yes,44,Debit Card,Weekly,99
100,Female,37,Shirt,Clothing,Fall,Magenta,S,New Jersey,4.1,Yes,Next Day Air,No,Yes,21,Credit Card,Monthly,31
101,Female,42,Sweater,Clothing,Fall,Yellow,M,Delaware,3.4,Yes,Standard,No,Yes,31,Credit Card,Annually,45
102,Female,28,Boots,Footwear,Winter,White,L,Kentucky,3.7,Yes,Standard,No,Yes,47,PayPal,Every 3 Months,30
103,Female,27,Overcoat,Outerwear,Winter,Pink,M,Nebraska,3.3,Yes,Express,No,Yes,14,PayPal,Every 3 Months,24
104,Female,63,Headphones,Electronics,Fall,Magenta,M,Virginia,4.5,Yes,2-Day Shipping,No,Yes,17,PayPal,Annually,22
105,Female,58,Jeans,Clothing,Fall,Teal,L,Wyoming,3.3,Yes,Free Shipping,No,Yes,3,PayPal,Annually,63
106,Female,37,Heels,Footwear,Fall,Indigo,XL,New Mexico,4.3,Yes,Next Day Air,No,Yes,42,Credit Card,Every 3 Months,40
107,Female,56,Overcoat,Outerwear,Spring,Maroon,M,Oregon,2.5,Yes,Standard,No,No,22,Cash,Quarterly,20
108,Female,18,Puffer Jacket,Outerwear,Summer,Black,L,South Carolina,2.6,Yes,Free Shipping,No,No,21,Credit Card,Every 3 Months,20
109,Female,48,Bracelet,Accessories,Fall,Purple,M,Arizona,4.9,Yes,Express,No,No,21,Venmo,Annually,80
110,Female,31,Watch,Accessories,Fall,Magenta,S,Kentucky,4.7,Yes,Next Day Air,No,No,40,Bank Transfer,Monthly,87
111,Female,51,Earbuds,Electronics,Spring,Gray,L,New York,3,Yes,Express,No,No,1,Credit Card,Bi-Weekly,46
112,Female,65,Flip-Flops,Footwear,Spring,Silver,XL,Texas,3.5,Yes,Next Day Air,No,No,50,Debit Card,Annually,49
113,Female,53,Necklace,Accessories,Summer,Cyan,XL,Missouri,4.8,Yes,Store Pickup,No,No,39,Debit Card,Quarterly,65
114,Female,55,Shorts,Clothing,Winter,Magenta,M,Delaware,4.3,Yes,2-Day Shipping,No,No,34,Debit Card,Bi-Weekly,62
115,Female,62,Puffer Jacket,Outerwear,Summer,Gold,S,Oregon,3.2,Yes,Standard,No,No,29,Cash,Monthly,67
116,Female,55,Smartwatch,Electronics,Spring,Olive,L,Nevada,3.1,Yes,2-Day Shipping,No,No,31,Credit Card,Bi-Weekly,41
117,Female,64,Windbreaker,Outerwear,Fall,Teal,XL,Arkansas,2.8,Yes,Express,No,No,8,Bank Transfer,Weekly,49
118,Female,52,Hat,Accessories,Winter,Violet,M,Minnesota,2.9,Yes,Standard,No,No,5,Debit Card,Annually,100
119,Female,24,Belt,Accessories,Summer,Blue,L,Georgia,,Yes,Store Pickup,No,No,7,Bank Transfer,Every 3 Months,54
120,Female,38,Necklace,Accessories,Summer,Teal,M,Rhode Island,3.3,Yes,Express,No,No,30,Bank Transfer,Quarterly,84
121,Female,59,Hat,Accessories,Spring,Gold,M,Nevada,2.8,Yes,2-Day Shipping,No,No,14,Debit Card,Every 3 Months,41
122,Female,27,Raincoat,Outerwear,Spring,Maroon,XL,Texas,4.2,Yes,Free Shipping,No,No,5,Credit Card,Fortnightly,88
123,Female,24,Shirt,Clothing,Spring,Olive,M,Florida,4.4,Yes,Standard,No,No,3,Cash,Monthly,40
124,Female,23,Sneakers,Footwear,Summer,Blue,S,North Dakota,4.2,Yes,2-Day Shipping,No,No,46,Cash,Monthly,39
125,Female,69,Hat,Accessories,Winter,Maroon,M,West Virginia,2.8,Yes,Standard,No,No,4,Cash,Weekly,37
126,Female,59,Shorts,Clothing,Winter,Olive,S,Nebraska,3.7,Yes,Express,No,No,42,Bank Transfer,Weekly,52
127,Female,51,Running Shoes,Footwear,Summer,Turquoise,L,Tennessee,3.5,Yes,2-Day Shipping,No,No,30,PayPal,Every 3 Months,23
128,Female,63,Sandals,Footwear,Summer,Peach,M,Oklahoma,2.9,Yes,Free Shipping,No,No,37,PayPal,Bi-Weekly,88
129,Female,54,Windbreaker,Outerwear,Spring,Charcoal,M,Wisconsin,3,Yes,Express,No,No,2,PayPal,Bi-Weekly,84
130,Female,32,Sneakers,Footwear,Summer,Pink,S,Oregon,3.7,Yes,Free Shipping,No,No,30,Bank Transfer,Quarterly,37
131,Female,39,Windbreaker,Outerwear,Fall,Green,M,North Carolina,4.4,Yes,Standard,No,No,47,Bank Transfer,Quarterly,51
132,Female,66,T-Shirt,Clothing,Spring,Orange,L,Pennsylvania,4.5,Yes,Standard,No,No,21,Venmo,Monthly,76
133,Female,28,Dress,Clothing,Winter,Pink,M,Pennsylvania,4.8,Yes,Free Shipping,No,No,9,Credit Card,Weekly,60
134,Female,50,Smartwatch,Electronics,Fall,Violet,M,Ohio,2.9,Yes,Next Day Air,No,No,12,Debit Card,Fortnightly,72
135,Female,70,Shorts,Clothing,Fall,Green,M,Oklahoma,3.2,Yes,Express,No,No,4,Credit Card,Bi-Weekly,45
136,Female,67,Scarf,Accessories,Winter,Olive,XL,South Carolina,3.3,Yes,Express,No,No,10,PayPal,Fortnightly,84
137,Female,64,Hat,Accessories,Winter,Purple,XL,Maine,4.2,Yes,Express,No,No,26,Bank Transfer,Every 3 Months,49
138,Female,45,Shirt,Clothing,Fall,Silver,M,Nevada,2.9,Yes,Store Pickup,No,No,40,Debit Card,Every 3 Months,22
139,Female,22,Puffer Jacket,Outerwear,Fall,Pink,S,Montana,4.6,Yes,Free Shipping,No,No,34,Bank Transfer,Quarterly,48
140,Female,27,Shirt,Clothing,Fall,Gold,M,New Hampshire,4.1,Yes,Next Day Air,No,No,31,Bank Transfer,Monthly,37
141,Female,25,Overcoat,Outerwear,Spring,Teal,XL,Maine,3.1,Yes,Free Shipping,No,No,1,Bank Transfer,Monthly,27
142,Female,37,Overcoat,Outerwear,Summer,Teal,XL,California,4.2,Yes,Express,No,No,5,Cash,Annually,79
143,Female,26,Bracelet,Accessories,Winter,Indigo,M,West Virginia,4.5,Yes,Next Day Air,No,No,4,Venmo,Weekly,98
144,Female,33,Jeans,Clothing,Winter,Maroon,M,California,3.7,Yes,Express,No,No,48,Venmo,Bi-Weekly,64
145,Female,43,T-Shirt,Clothing,Spring,White,L,West Virginia,3.7,Yes,2-Day Shipping,No,No,29,Bank Transfer,Monthly,32
146,Female,37,Boots,Footwear,Spring,Violet,S,Louisiana,3.4,Yes,Store Pickup,No,No,12,Credit Card,Fortnightly,74
147,Female,46,Bracelet,Accessories,Winter,Red,XL,Georgia,3,Yes,2-Day Shipping,No,No,29,Cash,Bi-Weekly,50
148,Female,22,Headphones,Electronics,Winter,Pink,M,Washington,4.2,Yes,Express,No,No,15,Cash,Every 3 Months,64
149,Female,20,Raincoat,Outerwear,Spring,Charcoal,S,Virginia,2.9,Yes,Next Day Air,No,No,34,Bank Transfer,Quarterly,29
150,Female,60,Raincoat,Outerwear,Spring,White,M,Indiana,3.5,Yes,Next Day Air,No,No,41,Credit Card,Bi-Weekly,62
151,Female,39,Earbuds,Electronics,Spring,Olive,XL,Minnesota,4.1,Yes,Express,No,No,41,Cash,Every 3 Months,78
152,Female,43,Watch,Accessories,Summer,Purple,L,Idaho,4.3,Yes,Standard,No,No,39,Bank Transfer,Quarterly,94
153,Female,31,Jeans,Clothing,Fall,Violet,L,Vermont,2.8,Yes,Standard,No,No,32,PayPal,Bi-Weekly,59
154,Female,19,Smartwatch,Electronics,Winter,Black,M,North Dakota,4.9,Yes,Store Pickup,No,No,29,Bank Transfer,Annually,47
155,Female,35,Scarf,Accessories,Summer,Purple,M,Minnesota,3.3,Yes,Store Pickup,No,No,15,Cash,Quarterly,57
156,Female,41,Heels,Footwear,Spring,Red,M,South Carolina,3.2,Yes,Express,No,No,33,Venmo,Every 3 Months,90
157,Female,52,Sweater,Clothing,Fall,Maroon,XL,Mississippi,4.4,Yes,2-Day Shipping,No,No,18,Bank Transfer,Fortnightly,60
158,Female,45,Earbuds,Electronics,Winter,Blue,M,Montana,4.8,Yes,2-Day Shipping,No,No,35,Bank Transfer,Annually,77
159,Female,34,Smartwatch,Electronics,Winter,Gray,M,Idaho,4.2,Yes,Express,No,No,25,Debit Card,Monthly,41
160,Female,35,Puffer Jacket,Outerwear,Spring,Blue,M,Utah,4,Yes,2-Day Shipping,No,No,6,Cash,Weekly,48
161,Female,29,Sweater,Clothing,Winter,Yellow,M,Oklahoma,2.5,Yes,Store Pickup,No,No,17,PayPal,Quarterly,65
162,Female,59,Windbreaker,Outerwear,Winter,Orange,S,California,3.9,Yes,Next Day Air,No,No,17,Cash,Every 3 Months,62
163,Female,24,Powerbank,Electronics,Spring,Orange,XL,Nevada,4.9,Yes,2-Day Shipping,No,No,44,Bank Transfer,Fortnightly,99
164,Female,70,Hat,Accessories,Winter,Red,M,Delaware,3.5,Yes,Next Day Air,No,No,6,Credit Card,Fortnightly,58
165,Female,29,Dress,Clothing,Summer,Olive,M,South Carolina,4.2,Yes,Free Shipping,No,No,45,Cash,Quarterly,43
166,Female,67,Headphones,Electronics,Summer,Brown,M,Maryland,4.7,Yes,Standard,No,No,7,Cash,Weekly,93
167,Female,36,Smartwatch,Electronics,Winter,Brown,M,North Carolina,4.5,Yes,Free Shipping,No,No,11,Credit Card,Monthly,50
168,Female,23,Raincoat,Outerwear,Winter,Gray,L,Alabama,2.8,Yes,Next Day Air,No,No,41,PayPal,Bi-Weekly,88
169,Female,18,Puffer Jacket,Outerwear,Summer,Indigo,M,Minnesota,2.9,Yes,Standard,No,No,24,Cash,Quarterly,33
170,Female,53,Powerbank,Electronics,Winter,Pink,M,Virginia,3.2,Yes,2-Day Shipping,No,No,21,Bank Transfer,Quarterly,99
171,Female,32,Jeans,Clothing,Fall,Gray,M,Michigan,4.9,Yes,Express,No,No,24,Credit Card,Annually,76
172,Female,38,Sneakers,Footwear,Summer,Gold,S,Arizona,,Yes,Store Pickup,No,No,8,PayPal,Annually,97
173,Female,47,Running Shoes,Footwear,Spring,Olive,M,Nevada,4.3,Yes,Store Pickup,No,No,12,Venmo,Monthly,68
174,Female,46,Sandals,Footwear,Summer,Violet,M,Michigan,3.9,Yes,2-Day Shipping,No,No,48,Venmo,Weekly,79
175,Female,66,Running Shoes,Footwear,Fall,Indigo,M,Montana,3.2,Yes,2-Day Shipping,No,No,6,Venmo,Bi-Weekly,86
176,Female,40,Running Shoes,Footwear,Fall,Orange,M,Utah,3.1,Yes,2-Day Shipping,No,No,14,Cash,Fortnightly,68
177,Female,43,Belt,Accessories,Winter,Violet,L,Nevada,3.9,Yes,Store Pickup,No,No,34,Venmo,Quarterly,52
178,Female,58,Boots,Footwear,Winter,Gray,L,Illinois,2.6,Yes,2-Day Shipping,No,No,12,Bank Transfer,Quarterly,90
179,Female,21,Shirt,Clothing,Summer,Purple,M,Utah,3.3,Yes,2-Day Shipping,No,No,11,Venmo,Monthly,41
180,Female,42,Shorts,Clothing,Summer,White,M,West Virginia,4.6,Yes,Next Day Air,No,No,5,Bank Transfer,Weekly,80
181,Female,24,Wallet,Accessories,Spring,Turquoise,XL,North Dakota,4.6,Yes,Standard,No,No,25,Bank Transfer,Bi-Weekly,100
182,Female,43,Bluetooth Speaker,Electronics,Summer,Maroon,M,Minnesota,4.4,Yes,Standard,No,No,11,Debit Card,Quarterly,77
183,Female,47,Sandals,Footwear,Winter,White,L,New York,4.2,Yes,Store Pickup,No,No,27,Credit Card,Monthly,78
184,Female,49,Sneakers,Footwear,Summer,Yellow,M,Vermont,3,Yes,Free Shipping,No,No,43,Cash,Quarterly,94
185,Female,50,Earbuds,Electronics,Winter,Turquoise,XL,North Dakota,4,Yes,Next Day Air,No,No,18,Debit Card,Fortnightly,23
186,Female,51,Running Shoes,Footwear,Summer,Violet,L,Louisiana,3.5,Yes,Store Pickup,No,No,32,Debit Card,Weekly,20
187,Female,40,Jacket,Clothing,Winter,Beige,L,Illinois,3,Yes,Free Shipping,No,No,27,Credit Card,Annually,86
188,Female,45,Earbuds,Electronics,Spring,Silver,S,Wyoming,3.7,Yes,Next Day Air,No,No,24,Venmo,Every 3 Months,60
189,Female,52,Shirt,Clothing,Spring,Teal,M,Washington,4,Yes,Standard,No,No,31,PayPal,Fortnightly,70
190,Female,62,Puffer Jacket,Outerwear,Fall,Black,M,Texas,4.2,Yes,Standard,No,No,39,Cash,Weekly,39
191,Female,20,Overcoat,Outerwear,Summer,Purple,M,New Hampshire,2.5,Yes,Express,No,No,36,PayPal,Bi-Weekly,37
192,Female,43,Running Shoes,Footwear,Fall,Gray,M,Indiana,3,Yes,2-Day Shipping,No,No,5,Debit Card,Monthly,29
193,Female,29,Watch,Accessories,Summer,White,M,Alabama,3.2,Yes,Free Shipping,No,No,47,PayPal,Annually,35
194,Female,22,Running Shoes,Footwear,Winter,Cyan,M,Oklahoma,3.5,Yes,Next Day Air,No,No,29,Credit Card,Weekly,83
195,Female,48,Bluetooth Speaker,Electronics,Summer,Turquoise,S,North Dakota,4.8,Yes,Standard,No,No,43,Venmo,Annually,77
196,Female,42,Flip-Flops,Footwear,Spring,Brown,M,Tennessee,2.6,Yes,Free Shipping,No,No,40,Credit Card,Every 3 Months,37
197,Female,19,Jacket,Clothing,Spring,Maroon,L,New Mexico,3.4,Yes,Express,No,No,4,PayPal,Weekly,69
198,Female,60,Flip-Flops,Footwear,Winter,Charcoal,M,Iowa,3.7,Yes,Next Day Air,No,No,39,PayPal,Monthly,66
199,Female,32,Hat,Accessories,Summer,Olive,M,Kentucky,4.5,Yes,Express,No,No,45,Credit Card,Bi-Weekly,26
200,Female,26,Headphones,Electronics,Winter,Lavender,M,Maine,3.7,Yes,Next Day Air,No,No,20,Debit Card,Weekly,63
201,Female,25,Earbuds,Electronics,Summer,Yellow,L,Massachusetts,3.3,Yes,Store Pickup,No,No,14,Credit Card,Monthly,38
